State,Capital,Abbreviation,Population,Region,US House Seats
Nevada,Carson City,NV,3034392,West,4
Texas,Austin,TX,28701845,Southwest,36
Maryland,Annapolis,MD,6042718,Middle Atlantic,8
Arizona,Phoenix,AZ,7171646,Southwest,9
Minnesota,St Paul,MN,5611179,Midwest,8
Kentucky,Frankfort,KY,4468402,South,6
North Carolina,Raleigh,NC,10383620,South,13
Alabama,Montgomery,AL,4887871,South,7
Missouri,Jefferson City,MO,6126452,Midwest,8
Northern Mariana Islands,Capitol Hill,MP,55194,South Pacific,0
Indiana,Indianapolis,IN,6691878,Midwest,9
New Mexico,Santa Fe,NM,2095428,Southwest,3
Idaho,Boise,ID,1754208,West,2
Utah,Salt Lake City,UT,3161105,West,4
Delaware,Dover,DE,967171,Middle Atlantic,1
Vermont,Montpelier,VT,626299,New England,1
Mississippi,Jackson,MS,2986530,South,4
South Carolina,Columbia,SC,5084127,South,7
Hawaii,Honolulu,HI,1420491,West,2
Nebraska,Lincoln,NE,1929268,Midwest,3
Iowa,Des Moines,IA,3156145,Midwest,4
Colorado,Denver,CO,5695564,West,7
Tennessee,Nashville,TN,6770010,South,9
Wisconsin,Madison,WI,5813568,Midwest,8
Michigan,Lansing,MI,9998915,Midwest,14
New Hampshire,Concord,NH,1356458,New England,2
New York,Albany,NY,19542209,Middle Atlantic,27
Guam,Hagatna,GU,165718,South Pacific,0
California,Sacramento,CA,39557045,West,53
Puerto Rico,San Juan,PR,3706690,South Atlantic,0
Maine,Augusta,ME,1338404,New England,2
Connecticut,Hartford,CT,3572665,New England,5
New Jersey,Trenton,NJ,9032873,Middle Atlantic,12
Kansas,Topeka,KS,2911505,Midwest,4
Washington D.C.,Washington D.C.,DC,703608,Middle Atlantic,0
U.S. Virgin Islands,Charlotte Amalie,VI,104914,South Atlantic,0
Massachusetts,Boston,MA,6902149,New England,9
Oregon,Salem,OR,4190713,West,5
Washington,Olympia,WA,7535591,West,10
Alaska,Juno,AK,737438,West,1
Arkansas,Little Rock,AR,3013825,South,4
Wyoming,Cheyenne,WY,577737,West,1
Rhode Island,Providence,RI,1057315,New England,2
Virginia,Richmond,VA,8517685,Middle Atlantic,11
West Virginia,Charleston,WV,1805832,Middle Atlantic,3
North Dakota,Bismarck,ND,760077,Midwest,1
Oklahoma,Oklahoma City,OK,3943079,Southwest,5
Georgia,Atlanta,GA,10519475,South,14
Illinois,Springfield,IL,12741080,Midwest,18
American Samoa,Pago Pago,AS,55679,South Pacific,0
Louisiana,Baton Rouge,LA,4659978,South,6
Pennsylvania,Harrisburg,PA,12807060,Middle Atlantic,18
Florida,Tallahassee,FL,21299325,South,27
Montana,Helena,MT,1062305,West,1
South Dakota,Pierre,SD,882235,Midwest,1
Ohio,Columbus,OH,11689442,Midwest,16
